"_time","source_subnet","ip_dst","unique_scanners","ports_scanned","total_packets","alert_severity","alert_message"
"2024-08-20T01:20:00.000-0500","83.222.190.0/24","203.161.44.208",5,6,12,CRITICAL,"Coordinated botnet scan: 5 IPs from 83.222.190.0/24 scanning 203.161.44.208"
"2024-08-20T01:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T01:50:00.000-0500","194.26.29.0/24","203.161.44.208",7,7,13,CRITICAL,"Coordinated botnet scan: 7 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T01:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,16,31,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:20:00.000-0500","79.110.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,10,20,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:30:00.000-0500","194.26.29.0/24","203.161.44.208",6,7,11,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T02:40:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,13,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T02:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,10,20,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:00:00.000-0500","79.110.62.0/24","203.161.44.208",3,16,32,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:10:00.000-0500","194.26.29.0/24","203.161.44.208",5,6,12,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T03:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,19,38,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:20:00.000-0500","194.26.29.0/24","203.161.44.208",5,6,12,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T03:30:00.000-0500","194.26.29.0/24","203.161.44.208",6,6,12,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T03:40:00.000-0500","194.26.29.0/24","203.161.44.208",5,7,13,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T03:40:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T03:50:00.000-0500","194.26.29.0/24","203.161.44.208",6,8,14,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T03:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:00:00.000-0500","79.110.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:20:00.000-0500","79.110.62.0/24","203.161.44.208",3,10,20,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:30:00.000-0500","194.26.29.0/24","203.161.44.208",4,6,12,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-20T04:30:00.000-0500","206.168.34.0/24","203.161.44.208",4,9,24,CRITICAL,"Coordinated botnet scan: 4 IPs from 206.168.34.0/24 scanning 203.161.44.208"
"2024-08-20T04:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T04:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,12,24,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-20T05:00:00.000-0500","194.26.29.0/24","203.161.44.208",5,8,16,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
